Registrar Name,Registrar IANA ID,Registrar DUM,Phishing Attacks,Phishing Attack Score,Malicious Phishing Attacks,Malicious Phishing Attack Score,Phishing Domains,Phishing Domain Score,Malicious Phishing Domains,Malicious Phishing Domains Score
"Network Solutions, LLC",2,4832040,771,1.6,228,0.47,640,1.32,192,0.4
"Register.com - Network Solutions, LLC",9,1250903,160,1.28,87,0.7,124,0.99,58,0.46
"eNom, LLC",48,3122288,1586,5.08,508,1.63,1198,3.84,409,1.31
"GMO Internet Group, Inc. d/b/a Onamae.com",49,9950524,15662,15.74,14013,14.08,14386,14.46,12951,13.02
Tucows Domains Inc.,69,9134678,17744,19.42,7304,8,4579,5.01,2078,2.27
Scaleway SAS,74,195195,119,6.1,27,1.38,88,4.51,22,1.13
Gandi SAS,81,1032309,3763,36.45,819,7.93,396,3.84,150,1.45
"OnlineNIC, Inc.",82,198636,121,6.09,48,2.42,112,5.64,45,2.27
IONOS SE,83,5745636,1686,2.93,890,1.55,1291,2.25,683,1.19
"GKG.NET, INC.",93,63459,343,54.05,272,42.86,245,38.61,185,29.15
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",106,864151,151,1.75,43,0.5,122,1.41,37,0.43
CSL Computer Service Langenbach GmbH d/b/a joker.com,113,544571,117,2.15,44,0.81,107,1.96,41,0.75
Xin Net Technology Corporation,120,922330,379,4.11,151,1.64,332,3.6,126,1.37
Cronon GmbH,141,1204349,60,0.5,3,0.02,50,0.42,2,0.02
"GoDaddy.com, LLC",146,64062098,22453,3.5,9654,1.51,15870,2.48,8256,1.29
InterNetX GmbH,151,1158868,2659,22.94,1969,16.99,2295,19.8,1768,15.26
Register SPA,168,667849,199,2.98,66,0.99,184,2.76,65,0.97
Moniker Online Services LLC,228,238937,165,6.91,73,3.06,48,2.01,1,0.04
"Gabia, Inc.",244,593527,110,1.85,39,0.66,88,1.48,38,0.64
Key-Systems GmbH,269,2022956,1911,9.45,792,3.92,1537,7.6,656,3.24
"DNC Holdings, Inc.",291,334903,109,3.25,5,0.15,101,3.02,5,0.15
MarkMonitor Inc.,292,1084606,39991,368.71,24463,225.55,385,3.55,130,1.2
"CSC Corporate Domains, Inc.",299,1451892,4389,30.23,116,0.8,72,0.5,7,0.05
PDR Ltd. d/b/a PublicDomainRegistry.com,303,3590665,12186,33.94,6955,19.37,10528,29.32,5962,16.6
"Arsys Internet, S.L. dba NICLINE.COM",379,402318,36,0.89,8,0.2,32,0.8,8,0.2
CommuniGal Communication Ltd.,418,151350,70,4.63,42,2.78,61,4.03,33,2.18
"Alibaba Cloud Computing (Beijing) Co., Ltd.",420,1733097,113,0.65,6,0.03,89,0.51,5,0.03
"DreamHost, LLC",431,761297,254,3.34,62,0.81,200,2.63,49,0.64
OVH sas,433,2268078,564,2.49,188,0.83,412,1.82,173,0.76
"Wild West Domains, LLC",440,2286914,967,4.23,388,1.7,788,3.45,356,1.56
"Inames Co., Ltd.",444,67536,30,4.44,21,3.11,25,3.7,17,2.52
Web Commerce Communications Limited dba WebNic.cc,460,853487,17693,207.3,10284,120.49,16106,188.71,8878,104.02
"Regional Network Information Center, JSC dba RU-CENTER",463,240296,176,7.32,75,3.12,124,5.16,71,2.95
"Amazon Registrar, Inc.",468,1677629,1155,6.88,332,1.98,720,4.29,256,1.53
Nom-iq Ltd. dba COM LAUDE,470,250810,570,22.73,286,11.4,25,1,4,0.16
Dynadot Inc,472,7525692,75172,99.89,70021,93.04,56271,74.77,51792,68.82
"Sav.com, LLC",609,798244,11326,141.89,7194,90.12,5947,74.5,4220,52.87
Epik LLC,617,220974,2987,135.17,2917,132.01,1595,72.18,1529,69.19
"Name.com, Inc.",625,2385494,10862,45.53,5391,22.6,2224,9.32,1450,6.08
Turkticaret.net Yazılım Hizmetleri Sanayi ve Ticaret A.Ş.,819,215400,125,5.8,38,1.76,117,5.43,35,1.62
Hetzner Online GmbH,828,158192,2131,134.71,14,0.89,27,1.71,13,0.82
Realtime Register B.V.,839,764329,1350,17.66,1014,13.27,1217,15.92,914,11.96
"Domain.com - Network Solutions, LLC",886,1233449,410,3.32,68,0.55,158,1.28,2,0.02
Squarespace Domains II LLC,895,7615751,1955,2.57,675,0.89,1315,1.73,548,0.72
Above.com Pty Ltd.,940,237978,48,2.02,20,0.84,46,1.93,20,0.84
Launchpad.com Inc.,955,398237,104,2.61,0,0,81,2.03,0,0
NetEarth One Inc. d/b/a NetEarth,1005,92446,110,11.9,53,5.73,42,4.54,2,0.22
101domain GRS Limited,1011,121844,61,5.01,14,1.15,47,3.86,10,0.82
EuroDNS S.A.,1052,181291,44,2.43,20,1.1,39,2.15,19,1.05
"NameCheap, Inc.",1068,20664356,47412,22.94,36142,17.49,42637,20.63,34196,16.55
Marcaria International LLC,1086,36719,39,10.62,4,1.09,26,7.08,3,0.82
"IHS Telekom, Inc.",1091,176385,72,4.08,9,0.51,65,3.69,9,0.51
"Media Elite Holdings Limited, S.A.",1114,77008,36,4.67,14,1.82,33,4.29,13,1.69
Bluehost Inc.,1154,1309748,222,1.69,2,0.02,171,1.31,2,0.02
"OwnRegistrar, Inc.",1250,248095,4206,169.53,3221,129.83,3799,153.13,2877,115.96
Dreamscape Networks International Pte Ltd,1291,559773,242,4.32,90,1.61,169,3.02,43,0.77
"No-IP Technologies, LLC",1327,33337,151,45.3,103,30.9,30,9,18,5.4
RegistryGate GmbH,1328,623411,84,1.35,16,0.26,36,0.58,6,0.1
"eName Technology Co., Ltd.",1331,540273,1334,24.69,1155,21.38,1176,21.77,1018,18.84
