TLD,TLD DUM,Phishing Attacks,Phishing Attack Score,Malicious Phishing Attacks,Malicious Phishing Attack Score,Phishing Domains,Phishing Domain Score,Malicious Phishing Domains,Malicious Phishing Domains Score,Top Registrar (ID),Top Registrar,Registrar's Phishing Domains,Registrar's Phishing Domains (%),Registrar's Malicious Phishing Domains,Registrar's Malicious Phishing Domains (%)
academy,62645,43,6.86,35,5.59,41,6.54,33,5.27,472,"Dynadot Inc",32,78%,30,91%
ae,312537,94,3.01,7,0.22,72,2.30,5,0.16,,,,,
agency,121777,182,14.95,164,13.47,120,9.85,104,8.54,472,"Dynadot Inc",66,55%,65,63%
ai,1186447,409,3.45,142,1.20,308,2.60,139,1.17,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",68,22%,29,21%
app,1219963,26920,220.66,11167,91.54,2372,19.44,1728,14.16,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",930,39%,779,45%
ar,559555,116,2.07,5,0.09,95,1.70,3,0.05,,,,,
art,290877,524,18.01,439,15.09,465,15.99,386,13.27,1479,"NameSilo, LLC",102,22%,100,26%
asia,544013,1142,20.99,873,16.05,928,17.06,708,13.01,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",417,45%,381,54%
at,1500187,410,2.73,263,1.75,324,2.16,208,1.39,,"Hosting concepts B.V. / Registrar.eu ( https://nic.at/registrar/648 )",69,21%,,
au,4242607,246,0.58,47,0.11,215,0.51,46,0.11,,"Domain Directors Pty Ltd trading as Instra",30,14%,,
autos,251633,2856,113.50,2353,93.51,1918,76.22,1428,56.75,1479,"NameSilo, LLC",856,45%,397,28%
baby,46304,266,57.45,240,51.83,157,33.91,136,29.37,472,"Dynadot Inc",121,77%,117,86%
bar,39872,739,185.34,693,173.81,401,100.57,366,91.79,1923,"Gname.com Pte. Ltd.",172,43%,167,46%
be,1628135,108,0.66,29,0.18,79,0.49,17,0.10,,"Registrar.eu",13,16%,,
beauty,67476,594,88.03,559,82.84,343,50.83,314,46.54,472,"Dynadot Inc",155,45%,149,47%
beer,118218,1554,131.45,1532,129.59,1497,126.63,1479,125.11,3862,"Spaceship, Inc.",1304,87%,1301,88%
best,36275,323,89.04,282,77.74,283,78.02,254,70.02,472,"Dynadot Inc",152,54%,151,59%
bet,123206,439,35.63,327,26.54,400,32.47,298,24.19,303,"PDR Ltd. d/b/a PublicDomainRegistry.com",102,26%,58,19%
bid,38532,167,43.34,150,38.93,161,41.78,145,37.63,472,"Dynadot Inc",136,84%,131,90%
bio,54569,748,137.07,730,133.78,337,61.76,322,59.01,472,"Dynadot Inc",215,64%,215,67%
biz,1217692,2274,18.67,1881,15.45,1973,16.20,1616,13.27,1068,"NameCheap, Inc.",702,36%,616,38%
blog,371898,459,12.34,382,10.27,355,9.55,279,7.50,472,"Dynadot Inc",147,41%,140,50%
boats,56794,1117,196.68,1098,193.33,590,103.88,572,100.71,1923,"Gname.com Pte. Ltd.",367,62%,366,64%
bond,1146414,37301,325.37,37045,323.14,16393,142.99,16160,140.96,1923,"Gname.com Pte. Ltd.",12914,79%,12886,80%
br,5226330,1417,2.71,170,0.33,1032,1.97,140,0.27,,"NEWFOLD",90,9%,,
business,34716,200,57.61,183,52.71,171,49.26,156,44.94,472,"Dynadot Inc",87,51%,87,56%
buzz,168054,912,54.27,793,47.19,789,46.95,672,39.99,3862,"Spaceship, Inc.",282,36%,266,40%
ca,3482459,770,2.21,274,0.79,642,1.84,268,0.77,,"Go Daddy Domains Canada, Inc",74,12%,,
cam,45862,2316,504.99,2240,488.42,1394,303.96,1334,290.87,1923,"Gname.com Pte. Ltd.",772,55%,770,58%
capital,33693,63,18.70,55,16.32,40,11.87,33,9.79,472,"Dynadot Inc",17,43%,17,52%
care,45975,47,10.22,37,8.05,47,10.22,37,8.05,472,"Dynadot Inc",35,74%,31,84%
casa,64555,377,58.40,354,54.84,298,46.16,279,43.22,472,"Dynadot Inc",163,55%,163,58%
casino,78676,187,23.77,113,14.36,177,22.50,107,13.60,1068,"NameCheap, Inc.",44,25%,29,27%
cc,2431298,28423,116.90,25370,104.35,17936,73.77,15583,64.09,1923,"Gname.com Pte. Ltd.",6197,35%,5756,37%
center,45576,117,25.67,96,21.06,88,19.31,71,15.58,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",27,31%,20,28%
cfd,511345,33455,654.25,31779,621.48,20767,406.13,19167,374.83,3858,"Aceville Pte. Ltd.",5077,24%,4949,26%
ch,2573527,295,1.15,73,0.28,258,1.00,67,0.26,,,,,
chat,52951,101,19.07,52,9.82,87,16.43,45,8.50,1697,"DNSPod, Inc.",18,21%,15,33%
city,31413,45,14.33,40,12.73,40,12.73,35,11.14,472,"Dynadot Inc",9,23%,9,26%
cl,580759,236,4.06,16,0.28,177,3.05,15,0.26,,"NIC Chile",152,86%,,
click,723583,16864,233.06,15313,211.63,10391,143.60,9003,124.42,472,"Dynadot Inc",2947,28%,2797,31%
cloud,491974,946,19.23,544,11.06,801,16.28,488,9.92,460,"Web Commerce Communications Limited dba WebNic.cc",143,18%,80,16%
club,518907,3132,60.36,2800,53.96,2542,48.99,2254,43.44,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",638,25%,602,27%
cn,12352863,45651,36.96,31970,25.88,39798,32.22,27136,21.97,,"成都垦派科技有限公司",10767,27%,,
co,3029515,3277,10.82,1577,5.21,2224,7.34,939,3.10,1923,"Gname.com Pte. Ltd.",463,21%,304,32%
com,161935002,242002,14.94,157865,9.75,188756,11.66,127434,7.87,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",50909,27%,44647,35%
company,81195,60,7.39,31,3.82,54,6.65,28,3.45,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",17,31%,12,43%
cv,53814,225,41.81,122,22.67,200,37.17,107,19.88,9999,"Reserved for non-billable transactions where Registry Operator acts as Registrar",186,93%,99,93%
cyou,452272,13200,291.86,12483,276.01,9188,203.15,8523,188.45,1923,"Gname.com Pte. Ltd.",1866,20%,1759,21%
cz,1507587,256,1.70,156,1.03,241,1.60,152,1.01,,"GRANSY",141,59%,,
de,17675671,3498,1.98,814,0.46,2448,1.38,617,0.35,,,,,
dev,645956,20639,319.51,8463,131.02,484,7.49,311,4.81,1068,"NameCheap, Inc.",168,35%,132,42%
digital,327844,3171,96.72,2519,76.84,2891,88.18,2282,69.61,609,"Sav.com, LLC",610,21%,501,22%
dk,1295671,45,0.35,14,0.11,40,0.31,14,0.11,,,,,
do,41752,32,7.66,8,1.92,25,5.99,8,1.92,,,,,
email,122594,129,10.52,76,6.20,119,9.71,69,5.63,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",23,19%,13,19%
es,2159992,537,2.49,294,1.36,452,2.09,258,1.19,,,,,
eu,3694341,545,1.48,176,0.48,401,1.09,143,0.39,,"Namecheap, Inc",71,18%,,
fi,563938,159,2.82,41,0.73,151,2.68,39,0.69,,,,,
finance,33120,364,109.90,249,75.18,352,106.28,237,71.56,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",229,65%,183,77%
fit,68244,2028,297.17,1881,275.63,1338,196.06,1230,180.24,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",775,58%,703,57%
forum,62560,464,74.17,450,71.93,221,35.33,208,33.25,472,"Dynadot Inc",109,49%,108,52%
foundation,31159,61,19.58,41,13.16,61,19.58,41,13.16,460,"Web Commerce Communications Limited dba WebNic.cc",38,62%,24,59%
fr,4389755,683,1.56,280,0.64,552,1.26,247,0.56,433,"OVH sas",92,17%,40,16%
fun,373212,1370,36.71,1096,29.37,1256,33.65,1000,26.79,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",335,27%,268,27%
